Date,AAPL.OQ,ABBV.N,ABT.N,ACN.N,ADBE.OQ,AIG.N,AMD.OQ,AMGN.OQ,AMT.N,AMZN.OQ,AVGO.OQ,AXP.N,BA.N,BAC.N,BK.N,BKNG.OQ,BLK.N,BMY.N,BRKb.N,C.N,CAT.N,CHTR.OQ,CL.N,CMCSA.OQ,COF.N,COP.N,COST.OQ,CRM.N,CSCO.OQ,CVS.N,CVX.N,DHR.N,DIS.N,DUK.N,EMR.N,EXC.OQ,F.N,FDX.N,GD.N,GE.N,GILD.OQ,GM.N,GOOG.OQ,GOOGL.OQ,GS.N,HD.N,HON.OQ,IBM.N,INTC.OQ,JNJ.N,JPM.N,KHC.OQ,KO.N,LIN.N,LLY.N,LMT.N,LOW.N,MA.N,MCD.N,MDLZ.OQ,MDT.N,MET.N,META.OQ,MMM.N,MO.N,MRK.N,MS.N,MSFT.OQ,NEE.N,NFLX.OQ,NKE.N,NVDA.OQ,ORCL.N,PEP.OQ,PFE.N,PG.N,PM.N,PYPL.OQ,QCOM.OQ,RTX.N,SBUX.OQ,SCHW.N,SO.N,SPG.N,T.N,TGT.N,TMO.N,TMUS.OQ,TSLA.OQ,TXN.OQ,UNH.N,UNP.N,UPS.N,USB.N,V.N,VZ.N,WBA.OQ,WFC.N,WMT.N,XOM.N
2021-09-01,152.51,112.27,127.4,337.9,665.89,54.58,109.99,223.35,297.96,173.95000000000002,493.16,164.44,218.12,41.19,54.4,2286.85,943.82,65.81,285.26,71.31,207.96,818.44,78.33,61.14,161.68,54.65,456.52,268.32,59.04,85.71,95.71,327.6,183.48,106.12,104.05,35.3681232,13.11,265.93,199.79,103.66,71.87,49.11,145.842,145.2155,413.66,323.64,229.8,133.0543452,53.67,173.74,159.72,36.1,56.69,313.88,257.4,356.66,203.43,349.57,238.15,62.33,134.17,61.31,382.05,193.44,50.08,76.18,104.31,301.83,85.34,582.07,164.56,224.41,89.95,157.91,46.04,143.84,103.56,286.75,146.45,84.1,117.45,73.2,66.48,135.81,20.53326263,246.37,561.72,137.74,244.69642197000002,188.35,417.35,216.93,196.4,56.17,230.12,54.94,50.29,43.45,147.78,53.77
2021-09-02,153.65,112.02,128.49,341.0,664.64,55.23,109.2,225.96,300.89,173.156,491.9,162.05,220.83,41.02,54.31,2300.46,950.67,66.12,285.05,71.5,211.78,821.01,78.52,61.75,160.06,56.6,460.97,264.15,59.53,86.96,97.71,331.43,181.86,106.65,105.7,35.724656700000004,13.01,267.09,202.3,106.26,72.34,48.95,144.21900000000002,143.287,414.5,327.74,230.97,133.73251163999998,53.73,174.93,160.46,36.07,56.77,315.57,259.57,358.05,206.15,341.28,239.87,61.92,134.73,61.66,375.28,194.89,51.04,77.12,104.83,301.15,86.48,588.55,163.67,223.96,89.8,156.95,46.84,143.95,105.64,285.53,145.12,84.54,117.37,72.91,66.85,136.42,20.87309228,245.81,565.47,136.13,244.12975587,189.41,423.71,217.53,198.19,56.44,224.18,55.29,51.78,44.57,148.56,55.08
2021-09-03,154.3,111.62,128.94,343.33,666.59,55.1,109.92,226.37,302.01,173.90250000000003,497.68,159.3,218.17,41.05,53.93,2304.45,937.28,65.61,281.89,71.17,210.37,811.33,77.91,61.72,157.26,56.24,462.55,267.08,59.42,87.47,97.49,332.43,181.0,105.68,105.38,35.52499794,12.89,266.04,202.46,104.75,71.96,48.82,144.775,143.7395,411.31,330.34,228.36,133.32179112,53.51,175.04,159.49,35.83,56.73,313.43,259.53,356.0,205.98,340.23,238.82,61.72,134.63,61.22,376.26,194.39,50.97,77.26,104.25,301.14,85.69,590.53,163.29,228.43,90.0,157.09,46.84,144.05,106.1,289.13,144.63,83.65,117.19,72.09,66.27,135.75,20.812678119999998,244.31,568.11,136.0,244.52308881000002,189.88,422.86,214.91,197.34,56.15,225.11,55.43,51.29,44.17,149.25,54.87
2021-09-07,156.69,109.03,128.39,341.49,661.39,54.67,109.15,221.34,299.22,175.46450000000002,496.59,159.72,214.24,41.32,53.12,2338.57,924.83,65.19,278.9,70.82,208.23,800.83,76.9,60.3,156.93,55.98,459.6,265.21,58.88,86.58,97.06,330.0,184.34,103.2,103.67,35.30394717,12.95,263.64,202.39,103.29,71.19,48.72,145.519,144.28050000000002,410.32,328.95,222.93,131.86994184,53.65,172.32,159.21,35.66,55.67,315.64,254.8,349.2,205.15,344.71,236.19,60.04,134.57,60.88,382.18,185.58,50.79,75.98,104.18,300.18,85.03,606.71,162.64,226.62,88.72,154.53,46.75,143.51,106.06,293.26,143.75,83.0,115.79,72.08,66.19,134.58,20.706953340000002,242.72,569.17,134.47,250.97308235999998,189.46,421.24,213.0,195.56,55.83,226.27,54.82,51.0,44.31,147.27,54.55
2021-09-08,155.11,110.36,129.06,340.32,663.22,54.81,106.17,220.87,303.62,176.275,494.38,158.93,211.38,40.78,52.98,2315.95,924.34,64.92,279.34,70.04,206.77,799.79,77.78,60.14,154.6,55.28,465.7,262.62,58.68,86.22,96.39,330.51,185.15,105.33,103.1,35.91005412,13.03,261.02,204.4,102.58,71.88,48.97,144.8835,143.691,405.0,331.58,224.4,132.45259188,53.57,171.9,158.5,37.06,56.42,311.59,254.84,351.46,204.09,351.04,238.62,60.86,135.17,60.98,377.57,187.89,50.88,75.36,103.57,300.21,86.44,606.05,160.71,223.39,89.47,156.72,46.51,144.6,103.68,285.23,142.52,82.87,118.04,71.56,67.31,132.14,20.8428852,246.11,572.58,133.67,251.28974871,188.8,415.39,215.25,194.57,55.34,229.09,54.91,51.09,43.82,147.46,54.05
2021-09-09,154.07,107.27,127.98,341.1,661.68,54.69,106.15,215.58,296.82,174.208,493.49,159.39,213.94,40.93,52.88,2318.67,922.14,63.58,278.61,70.46,205.42,785.41,77.3,59.56,155.78,55.58,465.94,260.74,58.6,85.41,96.0,328.38,185.91,104.62,100.08,35.81735541,12.76,259.22,203.81,103.29,70.61,48.42,144.9135,143.54100000000003,404.58,331.77,222.93,131.56428936,53.4,168.07,159.19,36.56,55.86,312.7,240.0,348.93,203.01,351.41,238.61,60.61,133.43,61.03,378.0,185.75,50.59,73.82,103.84,297.25,85.84,597.54,163.34,221.77,89.54,155.73,46.03,143.99,102.58,286.88,141.58,83.66,118.79,72.33,67.18,130.64,20.706953340000002,245.44,568.78,131.44,251.61974838,188.47,414.55,210.05,189.01,55.82,227.49,54.44,50.57,44.36,146.42,54.09
2021-09-10,148.97,106.68,128.8,341.92,658.94,54.44,105.2,213.75,293.88,173.4575,498.15,158.72,210.3,40.27,51.91,2304.8,916.62,63.13,277.6,69.57,205.01,787.12,77.04,59.3,155.56,55.73,465.16,257.2,57.89,83.79,96.07,329.99,184.12,103.2,100.09,35.58917397,12.68,257.55,201.6,102.0,70.99,49.49,141.92100000000002,140.876,403.48,331.95,222.37,130.87657128,53.84,166.97,157.36,36.33,55.61,310.44,239.5,345.88,204.33,347.39,239.18,60.23,131.14,60.77,378.69,184.55,50.6,73.45,103.62,295.71,84.93,598.72,163.59,224.78,89.68,155.46,45.59,144.13,103.57,284.32,142.68,83.0,119.34,71.44,66.21,127.9,20.52571086,244.54,571.96,130.81,245.42308791,190.65,403.91,207.76,193.26,55.45,224.91,54.23,49.45,44.33,145.89,53.98
2021-09-13,149.55,107.48,126.62,339.44,645.15,55.12,104.8,216.72,294.61,172.85850000000002,498.96,161.45,214.48,40.94,52.24,2322.12,916.26,62.84,279.92,70.52,206.2,793.07,77.38,59.97,158.93,57.59,459.66,254.11,58.1,84.51,97.97,321.45,184.98,102.73,99.16,36.05266752,12.99,261.86,199.42,104.46,71.15,50.82,143.465,142.3325,409.26,335.45,223.6,131.95590660000002,54.99,165.8,159.86,36.64,56.07,313.5,237.96,346.31,206.05,347.82,241.21,60.77,130.04,61.79,376.51,185.23,50.08,73.18,104.4,296.99,84.58,589.29,159.52,221.52,88.89,155.76,44.58,145.68,102.59,280.49,143.41,83.64,119.18,71.89,66.33,131.12,20.78247104,243.1,559.13,130.02,247.666419,193.98,414.52,206.75,194.39,56.54,224.63,54.62,49.18,45.76,145.06,55.37
2021-09-14,148.12,106.48,127.05,340.72,645.01,54.43,105.73,216.04,296.4,172.5,501.87,159.48,211.57,39.84,51.14,2328.66,901.95,62.11,277.2,68.78,202.33,761.86,77.3,55.59,154.39,56.94,458.41,254.37,57.87,83.89,96.2,324.09,182.4,101.61,97.65,35.92431546,12.86,255.2,196.66,100.38,70.45,50.74,143.406,142.5445,403.69,333.12,220.19,130.11244008,54.52,164.8,157.07,36.21,55.69,311.94,233.09,344.34,204.17,345.8,241.13,60.35,130.58,60.78,376.53,182.42,48.37,72.11,101.91,299.79,84.64,577.76,158.76,222.42,86.39,155.15,44.71,145.43,101.96,282.24,141.14,82.74,118.86,69.73,65.97,129.56,20.63898741,242.24,562.4,128.92,248.16308517,195.11,412.54,203.41,191.01,55.91,223.03,54.41,48.22,46.05,144.3,54.58
2021-09-15,149.03,107.77,127.49,344.43,661.08,54.45,105.6,218.13,297.26,173.7895,509.74,161.34,214.22,40.14,52.07,2375.97,909.65,62.0,278.18,70.45,205.73,765.2,77.21,57.0,158.91,59.32,460.73,256.16,57.56,85.54,98.24,325.26,184.41,102.03,99.33,36.25945695,13.22,256.59,198.48,102.16,71.76,51.82,145.206,144.42950000000002,401.95,333.37,221.69,131.0485008,55.12,165.42,158.16,36.22,55.88,314.53,233.73,345.07,205.61,344.75,240.98,60.51,131.65,62.07,373.92,184.19,49.23,72.81,103.04,304.82,84.61,582.87,157.91,223.41,87.73,156.02,44.77,145.12,104.0,282.43,138.24,84.87,114.64,71.15,66.01,131.15,20.82022989,244.14,562.96,127.07,251.94308139,197.5,417.52,204.25,193.35,57.8,223.81,54.57,50.12,46.64,144.55,56.42
